Series Name,"Series Code","Country Name","Country Code","2021 [YR2021]"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Egypt, Arab Rep.","EGY","15579.0160861551"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","El Salvador","SLV","10809.713399518"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Equatorial Guinea","GNQ","16821.4486470413"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Eritrea","ERI",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Estonia","EST","45063.541854854"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Eswatini","SWZ","9846.20708043753"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ethiopia","ETH","2588.41296931036"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Faroe Islands","FRO","67757.7773227559"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Fiji","FJI","10685.1969806618"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Finland","FIN","57350.8712055554"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","France","FRA","53901.1095813953"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","French Polynesia","PYF",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gabon","GAB","18523.5798032193"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gambia, The","GMB","2777.79620978324"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Georgia","GEO","18915.6534005263"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","62950.048090848"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ghana","GHA","6607.50297378321"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gibraltar","GIB",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Greece","GRC","33577.510092092"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Greenland","GRL","68086.4601238175"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Grenada","GRD","15298.1231115237"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guam","GUM",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guatemala","GTM","11828.3300095601"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guinea","GIN","3738.8051255133"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guinea-Bissau","GNB","2450.97796398284"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guyana","GUY","22865.9321661614"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Haiti","HTI","3134.95014938417"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Honduras","HND","6202.98078812037"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Hong Kong SAR, China","HKG","65884.9376260603"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Hungary","HUN","38647.9980847097"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Iceland","ISL","62032.2704112203"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","India","IND","8050.01857452664"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Indonesia","IDN","12757.0746440204"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Iran, Islamic Rep.","IRN","14951.8948716503"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Iraq","IRQ","12731.7535755128"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ireland","IRL","118102.765779741"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Isle of Man","IMN",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Israel","ISR","46238.221462336"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Italy","ITA","50465.0878433719"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Jamaica","JAM","9577.16421134079"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Japan","JPN","44549.3383411434"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Jordan","JOR","9182.49616125602"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kazakhstan","KAZ","32945.8515725823"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kenya","KEN","5338.85243382781"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kiribati","KIR","3049.47380127289"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Korea, Dem. People's Rep.","PRK",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Korea, Rep.","KOR","48571.4322096427"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kosovo","XKX","12362.4140965831"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kuwait","KWT","50689.0440784829"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kyrgyz Republic","KGZ","5736.47883415154"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Lao PDR","LAO","8080.43553249923"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Latvia","LVA","35604.8974492032"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Lebanon","LBN","11599.7755083765"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Lesotho","LSO","2544.78249551214"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Liberia","LBR","1539.20892304674"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Libya","LBY","12641.5097714075"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Liechtenstein","LIE",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Lithuania","LTU","46575.6925456472"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Luxembourg","LUX","137947.34385169"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Macao SAR, China","MAC","74177.7825248277"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Madagascar","MDG","1599.4127689767"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Malawi","MWI","1687.59358179651"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Malaysia","MYS","29822.8491831618"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Maldives","MDV","19052.6224904311"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mali","MLI","2347.62752913969"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Malta","MLT","58199.3990191332"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Marshall Islands","MHL","6705.8752915044"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mauritania","MRT","5836.56580821897"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mauritius","MUS","22737.5729410543"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mexico","MEX","21031.708645688"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Micronesia, Fed. Sts.","FSM","3921.72503036883"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Moldova","MDA","15682.0703284653"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Monaco","MCO",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mongolia","MNG","14792.2509086422"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Montenegro","MNE","24509.936480946"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Morocco","MAR","8623.265625"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Mozambique","MOZ","1457.23540930922"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Myanmar","MMR","5178.44718217164"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Namibia","NAM","9709.09930646771"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Nauru","NRU","12196.6451545359"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Nepal","NPL","4546.22970006289"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Netherlands","NLD","69323.3245840722"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","New Caledonia","NCL",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","New Zealand","NZL","48194.0410599758"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Nicaragua","NIC","7086.62239515406"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Niger","NER","1585.59922021188"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Nigeria","NGA","5491.70034068297"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","North Macedonia","MKD","22371.4967909767"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Northern Mariana Islands","MNP",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Norway","NOR","89209.1397773603"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Oman","OMN","38719.4587682049"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Pakistan","PAK","5367.27364714762"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Palau","PLW","15663.1743953887"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Panama","PAN","30932.7627780516"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Papua New Guinea","PNG","3976.90380027548"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Paraguay","PRY","15406.1670646579"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Peru","PER","15282.2736372636"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Philippines","PHL","8857.78995115514"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Poland","POL","41774.5809568984"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Portugal","PRT","38862.0907526008"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Puerto Rico","PRI","40559.6985749875"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Qatar","QAT","116832.570290462"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Romania","ROU","38071.1743187759"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Russian Federation","RUS","38938.49609375"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Rwanda","RWA","2731.09015294046"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Samoa","WSM","6214.01692789558"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","San Marino","SMR","64745.1316780701"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sao Tome and Principe","STP","5732.69456061536"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Saudi Arabia","SAU","55768.2355201349"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Senegal","SEN","4173.67741399619"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Serbia","SRB","23668.522776884"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Seychelles","SYC","29979.8272686091"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sierra Leone","SLE","2848.70597712579"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Singapore","SGP","131864.092335522"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sint Maarten (Dutch part)","SXM","40507.0672411717"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Slovak Republic","SVK","38437.4936679711"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Slovenia","SVN","46274.2802601484"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Solomon Islands","SLB","2518.42162363735"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Somalia","SOM","1392.4642619251"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","South Africa","ZAF","13711.2935730474"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","South Sudan","SSD",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","44091.1094602499"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sri Lanka","LKA","14316.1352225683"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","St. Kitts and Nevis","KNA","26896.617706598"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","St. Lucia","LCA","19101.1652956676"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","St. Martin (French part)","MAF",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","St. Vincent and the Grenadines","VCT","15900.9765805992"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sudan","SDN","3248.9755859375"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Suriname","SUR","18458.234999681"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sweden","SWE","63124.5966024914"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Switzerland","CHE","81603.2073073193"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Syrian Arab Republic","SYR","4592.83860100874"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Tajikistan","TJK","3985.91247611219"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Tanzania","TZA","3493.0830078125"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Thailand","THA","20245.2424111271"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Timor-Leste","TLS","6824.79238928702"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Togo","TGO","2577.20196322069"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Tonga","TON","7034.92483755247"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Trinidad and Tobago","TTO","30826.2088114142"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Tunisia","TUN","12375.3429338664"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Turkiye","TUR","31637.5293986264"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Turkmenistan","TKM","16434.1399060353"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Turks and Caicos Islands","TCA","21192.4823649974"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Tuvalu","TUV","5352.97314051618"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Uganda","UGA","2684.92035939744"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ukraine","UKR","17846.408203125"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Arab Emirates","ARE","67401.1212950201"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","52872.1956117395"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United States","USA","71318.3073592183"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Uruguay","URY","29441.4774869654"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Uzbekistan","UZB","9247.6438270393"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Vanuatu","VUT","3135.83664939695"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Venezuela, RB","VEN",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Viet Nam","VNM","12048.9019935536"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Virgin Islands (U.S.)","VIR","46893.5496988741"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","West Bank and Gaza","PSE","5663.12160743584"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Yemen, Rep.","YEM",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Zambia","ZMB","3503.03491418372"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Zimbabwe","ZWE","3184.78545138737"
